,timestamp,state,district,market,commodity,variety,arrival_date,min_price,max_price,modal_price
8,1619976905,Karnataka,Bellary,Hospet,Potato,Potato,02-05-21,1400,1400,1400
25,1619976905,Karnataka,Kolar,Kolar,Potato,Local,02-05-21,1200,1500,1300
79,1619976905,Maharashtra,Satara,Satara,Potato,Other,02-05-21,1000,1600,1300
88,1619976905,Maharashtra,Satara,Vai,Potato,Other,02-05-21,1300,1600,1450
103,1619976905,Odisha,Mayurbhanja,Betnoti,Potato,Potato,02-05-21,1200,1500,1300
141,1619976905,Punjab,Mohali,Banur,Potato,Other,02-05-21,500,700,700
162,1619976905,Punjab,Tarntaran,Patti,Potato,Other,02-05-21,500,700,600
177,1619976905,Tripura,Dhalai,Kulai,Potato,Local,02-05-21,1300,1500,1400
183,1619976905,Tripura,Dhalai,Masli,Potato,Local,02-05-21,1600,2000,1800
189,1619976905,Tripura,Gomati,Garjee,Potato,Jalander,02-05-21,1300,1400,1370
223,1619976905,Tripura,Unokoti,Pabiacherra,Potato,Other,02-05-21,1320,1410,1360
232,1619976905,Uttar Pradesh,Agra,Achnera,Potato,Desi,02-05-21,750,810,780
241,1619976905,Uttar Pradesh,Baghpat,Khekda,Potato,Potato,02-05-21,700,900,800
249,1619976905,Uttar Pradesh,Barabanki,Rudauli,Potato,Desi,02-05-21,1000,1100,1050
253,1619976905,Uttar Pradesh,Bhadohi(Sant Ravi Nagar),Gopiganj,Potato,Potato,02-05-21,800,800,800
256,1619976905,Uttar Pradesh,Farukhabad,Kamlaganj,Potato,Desi,02-05-21,700,900,800
260,1619976905,Uttar Pradesh,Jhansi,Moth,Potato,Desi,02-05-21,870,1000,960
267,1619976905,Uttar Pradesh,Muradabad,Sambhal,Potato,Desi,02-05-21,400,550,500
270,1619976905,West Bengal,Bankura,Bishnupur(Bankura),Potato,Jyoti,02-05-21,1000,1050,1020
274,1619976905,West Bengal,Bankura,Khatra,Potato,Jyoti,02-05-21,1000,1050,1020
279,1619976905,West Bengal,Birbhum,Birbhum,Potato,Other,02-05-21,800,1000,900
284,1619976905,West Bengal,Birbhum,Bolpur,Potato,Jyoti,02-05-21,810,1000,900
296,1619976905,West Bengal,North 24 Parganas,Barasat,Potato,Other,02-05-21,1220,1220,1220
304,1619976905,West Bengal,North 24 Parganas,Habra,Potato,Other,02-05-21,1200,1220,1200
310,1619976905,West Bengal,Puruliya,Purulia,Potato,Jyoti,02-05-21,1000,1040,1020
