,timestamp,state,district,market,commodity,variety,arrival_date,min_price,max_price,modal_price
0,1619976905,Andhra Pradesh,Chittor,Mulakalacheruvu,Tomato,Local,02-05-21,500,700,600
9,1619976905,Karnataka,Bellary,Hospet,Tomato,Tomato,02-05-21,400,1000,800
29,1619976905,Karnataka,Kolar,Kolar,Tomato,Tomato,02-05-21,300,800,500
52,1619976905,Maharashtra,Kolhapur,Kolhapur,Tomato,Other,02-05-21,300,1300,800
80,1619976905,Maharashtra,Satara,Satara,Tomato,Other,02-05-21,800,1000,900
89,1619976905,Maharashtra,Satara,Vai,Tomato,Local,02-05-21,500,1100,800
105,1619976905,Odisha,Mayurbhanja,Betnoti,Tomato,Tomato,02-05-21,800,1500,1000
107,1619976905,Odisha,Rayagada,Rayagada(Muniguda),Tomato,Other,02-05-21,3100,3150,3150
112,1619976905,Odisha,Sundergarh,Panposh,Tomato,Other,02-05-21,1200,1600,1500
133,1619976905,Punjab,kapurthala,Sultanpur,Tomato,Other,02-05-21,1200,1600,1500
165,1619976905,Punjab,Tarntaran,Patti,Tomato,Other,02-05-21,1000,1800,1400
234,1619976905,Uttar Pradesh,Agra,Achnera,Tomato,Deshi,02-05-21,600,700,650
243,1619976905,Uttar Pradesh,Baghpat,Khekda,Tomato,Local,02-05-21,500,700,600
251,1619976905,Uttar Pradesh,Barabanki,Rudauli,Tomato,Deshi,02-05-21,800,1000,900
261,1619976905,Uttar Pradesh,Jhansi,Moth,Tomato,Deshi,02-05-21,725,820,790
268,1619976905,Uttar Pradesh,Muradabad,Sambhal,Tomato,Deshi,02-05-21,450,1050,800
281,1619976905,West Bengal,Birbhum,Birbhum,Tomato,Other,02-05-21,700,1000,820
291,1619976905,West Bengal,Kolkata,Sealdah Koley Market,Tomato,Other,02-05-21,1200,1600,1400
298,1619976905,West Bengal,North 24 Parganas,Barasat,Tomato,Other,02-05-21,800,800,800
306,1619976905,West Bengal,North 24 Parganas,Habra,Tomato,Other,02-05-21,900,1100,900
312,1619976905,West Bengal,Puruliya,Purulia,Tomato,Other,02-05-21,900,1000,1000
