arrival_date,modal_price
01-01-2011,3900
02-01-2011,
03-01-2011,3900
04-01-2011,2900
05-01-2011,3900
06-01-2011,3900
07-01-2011,3900
08-01-2011,3100
09-01-2011,
10-01-2011,3900
11-01-2011,3900
12-01-2011,3900
13-01-2011,3900
14-01-2011,3900
15-01-2011,3900
16-01-2011,
17-01-2011,5400
18-01-2011,3000
19-01-2011,4900
20-01-2011,5400
21-01-2011,4900
22-01-2011,4900
23-01-2011,
24-01-2011,4900
25-01-2011,4900
26-01-2011,4900
27-01-2011,4900
28-01-2011,5900
29-01-2011,5900
30-01-2011,
31-01-2011,
01-02-2011,5400
02-02-2011,5900
03-02-2011,5900
04-02-2011,5900
05-02-2011,6400
06-02-2011,4150
07-02-2011,6900
08-02-2011,6900
09-02-2011,6400
10-02-2011,6400
11-02-2011,4900
12-02-2011,4900
13-02-2011,
14-02-2011,4900
15-02-2011,3500
16-02-2011,4900
17-02-2011,4900
18-02-2011,4900
19-02-2011,4900
20-02-2011,
21-02-2011,4900
22-02-2011,3900
23-02-2011,3900
24-02-2011,3400
25-02-2011,3400
26-02-2011,3400
27-02-2011,3500
28-02-2011,3500
01-03-2011,2900
02-03-2011,2400
03-03-2011,2900
04-03-2011,2900
05-03-2011,2900
06-03-2011,2250
07-03-2011,2900
08-03-2011,2400
09-03-2011,2400
10-03-2011,2400
11-03-2011,2400
12-03-2011,4100
13-03-2011,3500
14-03-2011,1900
15-03-2011,1900
16-03-2011,1900
17-03-2011,1900
18-03-2011,1900
19-03-2011,1900
20-03-2011,1750
21-03-2011,1900
22-03-2011,1900
23-03-2011,1900
24-03-2011,1900
25-03-2011,1900
26-03-2011,1900
27-03-2011,2500
28-03-2011,1900
29-03-2011,1900
30-03-2011,3900
31-03-2011,2000
01-04-2011,1900
02-04-2011,1400
03-04-2011,1750
04-04-2011,1400
05-04-2011,1400
06-04-2011,1400
07-04-2011,1400
08-04-2011,1400
09-04-2011,3900
10-04-2011,1400
11-04-2011,1400
12-04-2011,1400
13-04-2011,4400
14-04-2011,1300
15-04-2011,2000
16-04-2011,1400
17-04-2011,1500
18-04-2011,1900
19-04-2011,1900
20-04-2011,1900
21-04-2011,1200
22-04-2011,125
23-04-2011,1900
24-04-2011,1000
25-04-2011,1900
26-04-2011,1900
27-04-2011,1900
28-04-2011,1900
29-04-2011,1000
30-04-2011,1900
01-05-2011,1100
02-05-2011,1000
03-05-2011,1900
04-05-2011,1900
05-05-2011,1900
06-05-2011,1900
07-05-2011,1900
08-05-2011,1000
09-05-2011,1900
10-05-2011,1900
11-05-2011,1900
12-05-2011,1900
13-05-2011,1900
14-05-2011,3900
15-05-2011,800
16-05-2011,1900
17-05-2011,1900
18-05-2011,1900
19-05-2011,1900
20-05-2011,600
21-05-2011,1900
22-05-2011,1500
23-05-2011,1900
24-05-2011,1900
25-05-2011,1900
26-05-2011,1900
27-05-2011,1900
28-05-2011,4400
29-05-2011,700
30-05-2011,1900
31-05-2011,1000
01-06-2011,1900
02-06-2011,1900
03-06-2011,1900
04-06-2011,1900
05-06-2011,125
06-06-2011,1900
07-06-2011,1900
08-06-2011,1900
09-06-2011,1900
10-06-2011,1900
11-06-2011,4100
12-06-2011,1200
13-06-2011,1400
14-06-2011,1400
15-06-2011,1400
16-06-2011,1400
17-06-2011,1400
18-06-2011,1400
19-06-2011,1000
20-06-2011,1900
21-06-2011,1900
22-06-2011,1900
23-06-2011,1000
24-06-2011,1900
25-06-2011,1900
26-06-2011,1100
27-06-2011,1200
28-06-2011,1500
29-06-2011,3900
30-06-2011,1900
01-07-2011,1900
02-07-2011,1900
03-07-2011,2000
04-07-2011,1900
05-07-2011,1900
06-07-2011,1900
07-07-2011,1900
08-07-2011,1900
09-07-2011,3900
10-07-2011,3200
11-07-2011,1900
12-07-2011,1900
13-07-2011,1900
14-07-2011,1900
15-07-2011,1900
16-07-2011,1900
17-07-2011,3000
18-07-2011,1900
19-07-2011,1900
20-07-2011,2400
21-07-2011,2400
22-07-2011,1900
23-07-2011,1900
24-07-2011,2000
25-07-2011,1900
26-07-2011,1900
27-07-2011,4100
28-07-2011,700
29-07-2011,2000
30-07-2011,2700
31-07-2011,2000
01-08-2011,2400
02-08-2011,2400
03-08-2011,2400
04-08-2011,2400
05-08-2011,2400
06-08-2011,2400
07-08-2011,2050
08-08-2011,2400
09-08-2011,2400
10-08-2011,2400
11-08-2011,2400
12-08-2011,2900
13-08-2011,3400
14-08-2011,2050
15-08-2011,2050
16-08-2011,3400
17-08-2011,3400
18-08-2011,3400
19-08-2011,3400
20-08-2011,3400
21-08-2011,2500
22-08-2011,3400
23-08-2011,3400
24-08-2011,3400
25-08-2011,3900
26-08-2011,4400
27-08-2011,4900
28-08-2011,1650
29-08-2011,1200
30-08-2011,2250
31-08-2011,4100
01-09-2011,3900
02-09-2011,3900
03-09-2011,4400
04-09-2011,2500
05-09-2011,4900
06-09-2011,3900
07-09-2011,4400
08-09-2011,1400
09-09-2011,1400
10-09-2011,4100
11-09-2011,
12-09-2011,4400
13-09-2011,1800
