date,temp,min,max,prcp,mxspd
12/1/2020,15.77777778,9.222222222,25.61111111,0,1.491888889
12/2/2020,16.22222222,9.388888889,25,0,0
12/3/2020,15.77777778,9.777777778,26,0,0
12/4/2020,16.16666667,9.388888889,24.11111111,0,1.491888889
12/5/2020,18,13.61111111,23.61111111,0,1.491888889
12/6/2020,17.72222222,14,24.38888889,0,2.109222222
12/7/2020,17.94444444,13,25,0,1.491888889
12/8/2020,16.9,12,26.3,0,1
12/9/2020,17.7,11.2,25.8,0,1
12/10/2020,18.3,12.4,26,0,1
12/11/2020,18.3,12.4,26,0,1
12/12/2020,18.3,12.4,26,0,1
12/13/2020,18.3,12.4,26,0,1
12/14/2020,18.3,12.4,26,0,1
12/15/2020,18.3,12.4,26,0,1
12/16/2020,18.3,12.4,26,0,1
12/17/2020,18.3,12.4,26,0,1
12/18/2020,18.3,12.4,26,0,1
12/19/2020,18.3,12.4,26,0,1
12/20/2020,18.3,12.4,26,0,1
12/21/2020,18.3,12.4,26,0,1
12/22/2020,18.3,12.4,26,0,1
12/23/2020,18.3,12.4,26,0,1
12/24/2020,18.3,12.4,26,0,1
12/25/2020,18.3,12.4,26,0,1
12/26/2020,18.3,12.4,26,0,1
12/27/2020,18.3,12.4,26,0,1
12/28/2020,18.3,12.4,26,0,1
12/29/2020,18.3,12.4,26,0,1
12/30/2020,18.3,12.4,26,0,1
12/31/2020,18.3,12.4,26,0,1
